Your file has 108 of positions and velocities
Kinetic Energy = 297.45998463925156 and Potential Energy = 855.0.
-1.0,0.0,2.0,-0.852602,-0.552644,2.301382
0.0,-1.0,2.0,-0.662108,1.004777,0.265077
1.0,-1.0,1.0,1.753037,-1.080123,-0.324704
2.0,0.0,1.0,0.687244,0.411978,0.768174
1.0,0.0,2.0,0.424979,-1.177274,1.864242
2.0,-1.0,2.0,-1.762014,0.375764,1.208804
-3.0,1.0,1.0,-1.586539,1.395963,0.116469
-2.0,2.0,1.0,-0.769346,-0.838877,-0.153835
-3.0,2.0,2.0,1.957564,-1.070671,-0.317273
-2.0,1.0,2.0,-1.104965,-0.017052,-0.09539
-1.0,1.0,1.0,-0.688304,-1.367889,-0.198875
0.0,2.0,1.0,-1.511768,1.115447,1.640161
-1.0,2.0,2.0,0.70568,-0.236597,0.718786
0.0,1.0,2.0,0.2648,0.812694,2.339601
1.0,1.0,1.0,-0.562993,-0.413598,-1.281386
2.0,2.0,1.0,0.47771,-0.666094,0.180145
1.0,2.0,2.0,0.699019,0.331863,0.009243
2.0,1.0,2.0,0.377822,-1.098942,0.470159
